"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"HMGB2",5.47176255629922e-283,1.71079008395505,1,0.811,1.84365567571946e-278
"PTTG1",6.24437408314499e-241,1.48919351803118,0.995,0.762,2.10397940357487e-236
"PSRC1",5.00857581555826e-236,0.995200566164441,0.739,0.217,1.6875895352942e-231
"CENPF",3.98376372393168e-231,1.47748072274475,0.938,0.478,1.34228934914154e-226
"CDKN3",7.47202089230799e-227,1.20704029761838,0.818,0.307,2.51762271945426e-222
"UBE2C",4.21921440358445e-223,1.70559024634727,0.961,0.611,1.42162210114375e-218
"CENPA",5.49226452522762e-218,1.03673957431872,0.725,0.221,1.85056360913019e-213
"MKI67",7.07600800946324e-217,1.04977653594493,0.775,0.264,2.38419013870854e-212
"TOP2A",2.44280994632926e-213,1.35839138145412,0.851,0.388,8.23080383316182e-209
"CKS2",2.83602433082534e-199,1.1304469623702,0.992,0.866,9.55570038028291e-195
"ARL6IP1",4.72530316523176e-193,1.37244607172001,0.921,0.556,1.59214364849319e-188
"FAM64A",2.20585038938818e-190,1.03207484907116,0.839,0.376,7.43239230200452e-186
"CDC20",3.13195155171833e-189,1.22469496430719,0.894,0.435,1.05527975583598e-184
"NUSAP1",3.41631134502682e-189,1.06191796140463,0.839,0.372,1.15109194459334e-184
"BIRC5",4.97618453206903e-187,1.12389389734282,0.948,0.577,1.67667561623534e-182
"PLK1",1.86362823722152e-183,1.00901829095487,0.762,0.274,6.27930898249419e-179
"UBE2S",2.6111905063568e-172,1.2001370882062,0.951,0.659,8.79814529211861e-168
"TPX2",8.57898265430413e-170,0.952383640866776,0.766,0.315,2.89060241554123e-165
"GTSE1",5.31813920148821e-167,0.82647881718873,0.703,0.253,1.79189382254944e-162
"TUBA1B",1.06700668358377e-162,0.978546254233431,1,0.993,3.59517231966716e-158
"CDCA3",1.10914012097275e-162,0.812108318011575,0.61,0.188,3.73713672360557e-158
"ASPM",6.29284938824125e-162,0.754135192667907,0.581,0.167,2.12031267287401e-157
"SMC4",4.90133584033399e-160,0.944678247911233,0.848,0.426,1.65145609804213e-155
"HMGN2",1.24708114873146e-153,0.747319297960574,1,0.985,4.20191522253577e-149
"KPNA2",2.50432215111141e-144,1.19717664059905,0.942,0.7,8.43806305595479e-140
"CKS1B",1.84821003270109e-139,0.837270030818926,0.98,0.877,6.22735888418305e-135
"CALM2",2.21817769709618e-139,0.866492858849094,0.998,0.958,7.47392793259586e-135
"CCNB1",5.81868887917186e-139,1.11796293763149,0.821,0.418,1.96054903094817e-134
"KNSTRN",3.12564964519182e-136,0.762199664531365,0.642,0.241,1.05315639145093e-131
"AURKB",3.82480457046986e-134,0.86943278807827,0.792,0.388,1.28872965197412e-129
"SGOL2",2.67463221081654e-133,0.692873349660687,0.548,0.171,9.01190577112526e-129
"NUCKS1",4.09395149848325e-130,0.817048613878284,0.989,0.92,1.37941601789895e-125
"NEK2",7.89087062902447e-130,0.575438245548875,0.417,0.099,2.65874994974351e-125
"MXD3",3.27926093195533e-127,0.472439979663078,0.399,0.09,1.10491417841303e-122
"CCNA2",7.08198747865699e-124,0.761017805536142,0.718,0.313,2.38620486105869e-119
"CCNB2",5.36756711633651e-122,1.00967498705516,0.851,0.515,1.80854806417843e-117
"H2AFZ",1.32703838568271e-117,0.578470512978142,1,0.996,4.47132313671932e-113
"DLGAP5",6.92257837522986e-116,0.672478838887734,0.602,0.227,2.33249355774995e-111
"AURKA",6.62250100313539e-115,0.757322730495912,0.656,0.279,2.23138548799644e-110
"RNF26",5.16872205195878e-113,0.749444085306636,0.774,0.4,1.74154920818699e-108
"PRC1",7.17195192727575e-113,0.56529913400155,0.502,0.161,2.41651748237629e-108
"CRNDE",4.30283154344318e-111,0.696084175545515,0.733,0.331,1.44979606024775e-106
"CDK1",2.45116620843771e-108,0.81990194785518,0.64,0.28,8.25895942271003e-104
"CENPE",4.24016597718104e-108,0.541406827172688,0.449,0.134,1.42868152435138e-103
"HMMR",4.85605199731379e-108,0.532820630631792,0.452,0.134,1.63619815997491e-103
"NUF2",3.86791639064151e-106,0.548156846452302,0.451,0.137,1.30325574866275e-101
"RACGAP1",4.77739984531125e-106,0.458544677402022,0.426,0.12,1.60969710387917e-101
